match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
166549,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,4921,22.0,2054,4914,50.0,1935,,38.0,32.0,57.0,50.0,22.0,26.0,9.0,10.0,2.0,4.0,2.0,0.0,2.0,2.0,6.0,3.0,0,1,9.0
166550,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,4269,40.0,1969,5539,59.0,1901,,39.0,44.0,62.0,55.0,24.0,31.0,8.0,6.0,5.0,1.0,3.0,3.0,5.0,1.0,9.0,2.0,0,1,9.0
166551,Buenos Aires,2018,319,12/02/2018,B,C,R16,3,4546,66.0,1851,6219,6.0,2087,,50.0,41.0,70.0,53.0,32.0,29.0,8.0,9.0,2.0,4.0,0.0,1.0,7.0,1.0,10.0,1.0,0,1,10.0
166552,Buenos Aires,2018,319,12/02/2018,B,C,QF,3,4198,69.0,1845,5630,70.0,1900,,41.0,42.0,55.0,63.0,27.0,28.0,8.0,15.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,4.0,0,1,10.0
166553,Buenos Aires,2018,319,12/02/2018,B,C,QF,3,6029,24.0,2028,5370,51.0,1907,,39.0,42.0,65.0,66.0,23.0,30.0,13.0,11.0,0.0,5.0,3.0,1.0,2.0,8.0,6.0,10.0,0,1,10.0
167974,Umag,2018,301,16/07/2018,B,C,R32,3,11769,69.0,1833,5364,127.0,1923,,28.0,25.0,41.0,37.0,10.0,19.0,6.0,10.0,1.0,2.0,3.0,2.0,2.0,1.0,7.0,1.0,0,1,7.0
167975,Umag,2018,301,16/07/2018,B,C,R32,3,5403,157.0,1846,44825,144.0,1733,,43.0,37.0,63.0,64.0,25.0,26.0,8.0,13.0,1.0,3.0,1.0,4.0,2.0,0.0,6.0,2.0,0,1,9.0
167978,Umag,2018,301,16/07/2018,B,C,R32,3,5918,82.0,1800,5571,66.0,1912,,30.0,38.0,63.0,59.0,16.0,29.0,17.0,12.0,3.0,10.0,4.0,2.0,4.0,5.0,8.0,6.0,0,1,10.0
166699,Rio De Janeiro,2018,345,19/02/2018,A,C,QF,3,6219,6.0,2115,4269,40.0,1973,,39.0,37.0,64.0,60.0,22.0,31.0,9.0,9.0,6.0,4.0,3.0,2.0,9.0,4.0,13.0,4.0,0,1,8.0
166700,Rio De Janeiro,2018,345,19/02/2018,A,C,QF,3,5370,43.0,1941,4921,21.0,2051,,58.0,63.0,108.0,102.0,42.0,41.0,19.0,27.0,3.0,1.0,3.0,2.0,8.0,11.0,13.0,12.0,0,1,14.0
166701,Rio De Janeiro,2018,345,19/02/2018,A,C,QF,3,4654,33.0,1930,11769,94.0,1782,,36.0,50.0,54.0,72.0,27.0,35.0,10.0,14.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,0,1,10.0
166832,Indian Wells Masters,2018,290,05/03/2018,M,H,R64,3,5067,113.0,1850,4914,47.0,1938,,34.0,29.0,47.0,44.0,18.0,24.0,7.0,12.0,2.0,8.0,0.0,2.0,3.0,0.0,6.0,0.0,0,1,8.0
166833,Indian Wells Masters,2018,290,05/03/2018,M,H,R64,3,5801,59.0,1853,3970,33.0,2008,,53.0,47.0,76.0,77.0,30.0,32.0,13.0,19.0,3.0,2.0,3.0,1.0,7.0,6.0,10.0,7.0,0,1,10.0
166922,Miami Masters,2018,282,19/03/2018,M,H,R64,3,5718,81.0,1897,5220,3.0,2159,,57.0,34.0,83.0,57.0,32.0,29.0,14.0,10.0,6.0,6.0,3.0,3.0,10.0,2.0,14.0,3.0,0,1,11.0
167003,Davis Cup G1,2018,28,06/04/2018,D,H,RR,3,6354,132.0,1761,44884,332.0,1657,,53.0,39.0,90.0,67.0,35.0,28.0,18.0,18.0,9.0,3.0,4.0,2.0,3.0,4.0,6.0,6.0,0,1,11.0
167004,Davis Cup G1,2018,28,06/04/2018,D,H,RR,3,11548,213.0,1600,5573,247.0,1736,,36.0,35.0,51.0,54.0,19.0,25.0,4.0,10.0,0.0,4.0,4.0,4.0,2.0,4.0,7.0,6.0,0,1,8.0
167005,Davis Cup G1,2018,28,06/04/2018,D,H,RR,3,5828,248.0,1705,6354,132.0,1739,,44.0,41.0,73.0,71.0,24.0,31.0,13.0,11.0,1.0,11.0,5.0,4.0,4.0,7.0,9.0,11.0,0,1,10.0
167006,Davis Cup G1,2018,28,06/04/2018,D,H,RR,3,44884,332.0,1698,5422,263.0,1661,,29.0,31.0,56.0,45.0,19.0,24.0,12.0,10.0,2.0,7.0,5.0,0.0,4.0,1.0,8.0,2.0,0,1,9.0
167008,Davis Cup G1,2018,28,06/04/2018,D,G,RR,3,21950,378.0,1500,3499,1770.0,1745,,68.0,63.0,112.0,106.0,55.0,52.0,19.0,25.0,19.0,14.0,5.0,6.0,2.0,8.0,4.0,8.0,0,1,16.0
167009,Davis Cup G1,2018,28,06/04/2018,D,G,RR,3,3499,1770.0,1752,4794,83.0,1896,,21.0,22.0,54.0,40.0,13.0,19.0,11.0,11.0,0.0,6.0,4.0,1.0,6.0,0.0,11.0,1.0,0,1,8.0
167060,Houston,2018,244,09/04/2018,B,C,R32,3,11415,99.0,1756,6202,108.0,1790,,39.0,20.0,62.0,33.0,23.0,18.0,5.0,10.0,5.0,5.0,2.0,0.0,6.0,0.0,11.0,0.0,0,1,7.0
167132,Monte Carlo Masters,2018,9,16/04/2018,M,C,R64,3,3893,63.0,1791,5718,82.0,1893,,48.0,57.0,70.0,84.0,37.0,45.0,10.0,12.0,3.0,8.0,6.0,5.0,2.0,5.0,3.0,5.0,0,1,11.0
167133,Monte Carlo Masters,2018,9,16/04/2018,M,C,R64,3,4894,44.0,1882,25898,33.0,1947,,68.0,83.0,123.0,110.0,52.0,58.0,27.0,12.0,9.0,2.0,3.0,3.0,8.0,7.0,10.0,10.0,0,1,16.0
167272,Istanbul,2018,349,30/04/2018,B,C,R32,3,5349,69.0,1919,5571,92.0,1835,,37.0,25.0,69.0,43.0,20.0,22.0,13.0,9.0,1.0,1.0,2.0,0.0,11.0,2.0,16.0,3.0,0,1,8.0
167316,Munich,2018,153,30/04/2018,B,C,R16,3,20265,119.0,1760,5515,62.0,1882,,49.0,42.0,72.0,90.0,31.0,33.0,14.0,23.0,3.0,12.0,0.0,8.0,4.0,3.0,8.0,6.0,0,1,13.0
167318,Munich,2018,153,30/04/2018,B,C,QF,3,5131,14.0,2082,4259,34.0,2009,,37.0,34.0,55.0,52.0,25.0,27.0,9.0,12.0,3.0,4.0,3.0,1.0,1.0,0.0,4.0,1.0,0,1,10.0
167319,Munich,2018,153,30/04/2018,B,C,QF,3,5902,61.0,1862,9719,73.0,1822,,23.0,36.0,48.0,63.0,14.0,26.0,16.0,16.0,2.0,0.0,2.0,1.0,3.0,6.0,6.0,7.0,0,1,9.0
167320,Munich,2018,153,30/04/2018,B,C,QF,3,5364,122.0,1932,11176,22.0,2049,,39.0,28.0,71.0,44.0,23.0,23.0,16.0,11.0,4.0,2.0,4.0,1.0,5.0,0.0,9.0,1.0,0,1,10.0
167322,Munich,2018,153,30/04/2018,B,C,SF,3,9719,73.0,1837,4259,34.0,2020,,34.0,32.0,50.0,45.0,15.0,24.0,11.0,11.0,2.0,1.0,1.0,0.0,2.0,1.0,6.0,2.0,0,1,9.0
167371,Madrid Masters,2018,331,07/05/2018,M,C,R16,3,6418,35.0,2032,6219,7.0,2103,,71.0,59.0,96.0,100.0,53.0,40.0,10.0,23.0,8.0,6.0,1.0,3.0,2.0,4.0,4.0,7.0,0,1,15.0
